nohup: ignoring input
/home/gaojinghan/anaconda3/envs/ft/lib/python3.7/site-packages/torchvision/transforms/transforms.py:187: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 0 | Batch 0/368 | Loss 5.316615
Epoch 0 | Batch 10/368 | Loss 5.260199
Epoch 0 | Batch 20/368 | Loss 5.196535
Epoch 0 | Batch 30/368 | Loss 5.148825
Epoch 0 | Batch 40/368 | Loss 5.124560
Epoch 0 | Batch 50/368 | Loss 5.101530
Epoch 0 | Batch 60/368 | Loss 5.073291
Epoch 0 | Batch 70/368 | Loss 5.050382
Epoch 0 | Batch 80/368 | Loss 5.031311
Epoch 0 | Batch 90/368 | Loss 5.016601
Epoch 0 | Batch 100/368 | Loss 4.999190
Epoch 0 | Batch 110/368 | Loss 4.989511
Epoch 0 | Batch 120/368 | Loss 4.976120
Epoch 0 | Batch 130/368 | Loss 4.964774
Epoch 0 | Batch 140/368 | Loss 4.953702
Epoch 0 | Batch 150/368 | Loss 4.941327
Epoch 0 | Batch 160/368 | Loss 4.931316
Epoch 0 | Batch 170/368 | Loss 4.922017
Epoch 0 | Batch 180/368 | Loss 4.913938
Epoch 0 | Batch 190/368 | Loss 4.904771
Epoch 0 | Batch 200/368 | Loss 4.896315
Epoch 0 | Batch 210/368 | Loss 4.888183
Epoch 0 | Batch 220/368 | Loss 4.879101
Epoch 0 | Batch 230/368 | Loss 4.872040
Epoch 0 | Batch 240/368 | Loss 4.864559
Epoch 0 | Batch 250/368 | Loss 4.858972
Epoch 0 | Batch 260/368 | Loss 4.852407
Epoch 0 | Batch 270/368 | Loss 4.845679
Epoch 0 | Batch 280/368 | Loss 4.838612
Epoch 0 | Batch 290/368 | Loss 4.832884
Epoch 0 | Batch 300/368 | Loss 4.826057
Epoch 0 | Batch 310/368 | Loss 4.819669
Epoch 0 | Batch 320/368 | Loss 4.813202
Epoch 0 | Batch 330/368 | Loss 4.809491
Epoch 0 | Batch 340/368 | Loss 4.803151
Epoch 0 | Batch 350/368 | Loss 4.797210
Epoch 0 | Batch 360/368 | Loss 4.790958
Epoch 1 | Batch 0/368 | Loss 4.489037
Epoch 1 | Batch 10/368 | Loss 4.528591
Epoch 1 | Batch 20/368 | Loss 4.524369
Epoch 1 | Batch 30/368 | Loss 4.530143
Epoch 1 | Batch 40/368 | Loss 4.525433
Epoch 1 | Batch 50/368 | Loss 4.523517
Epoch 1 | Batch 60/368 | Loss 4.531263
Epoch 1 | Batch 70/368 | Loss 4.527684
Epoch 1 | Batch 80/368 | Loss 4.529749
Epoch 1 | Batch 90/368 | Loss 4.530088
Epoch 1 | Batch 100/368 | Loss 4.527076
Epoch 1 | Batch 110/368 | Loss 4.521250
Epoch 1 | Batch 120/368 | Loss 4.520969
Epoch 1 | Batch 130/368 | Loss 4.519349
Epoch 1 | Batch 140/368 | Loss 4.519942
Epoch 1 | Batch 150/368 | Loss 4.518336
Epoch 1 | Batch 160/368 | Loss 4.515418
Epoch 1 | Batch 170/368 | Loss 4.517445
Epoch 1 | Batch 180/368 | Loss 4.514551
Epoch 1 | Batch 190/368 | Loss 4.513147
Epoch 1 | Batch 200/368 | Loss 4.511893
Epoch 1 | Batch 210/368 | Loss 4.511579
Epoch 1 | Batch 220/368 | Loss 4.511056
Epoch 1 | Batch 230/368 | Loss 4.511279
Epoch 1 | Batch 240/368 | Loss 4.509623
Epoch 1 | Batch 250/368 | Loss 4.509338
Epoch 1 | Batch 260/368 | Loss 4.507152
Epoch 1 | Batch 270/368 | Loss 4.506006
Epoch 1 | Batch 280/368 | Loss 4.503969
Epoch 1 | Batch 290/368 | Loss 4.503493
Epoch 1 | Batch 300/368 | Loss 4.502205
Epoch 1 | Batch 310/368 | Loss 4.500384
Epoch 1 | Batch 320/368 | Loss 4.499342
Epoch 1 | Batch 330/368 | Loss 4.497841
Epoch 1 | Batch 340/368 | Loss 4.494676
Epoch 1 | Batch 350/368 | Loss 4.491936
Epoch 1 | Batch 360/368 | Loss 4.490362
Epoch 2 | Batch 0/368 | Loss 4.438321
Epoch 2 | Batch 10/368 | Loss 4.397692
Epoch 2 | Batch 20/368 | Loss 4.403447
Epoch 2 | Batch 30/368 | Loss 4.422017
Epoch 2 | Batch 40/368 | Loss 4.414115
Epoch 2 | Batch 50/368 | Loss 4.414568
Epoch 2 | Batch 60/368 | Loss 4.416712
Epoch 2 | Batch 70/368 | Loss 4.408595
Epoch 2 | Batch 80/368 | Loss 4.406423
Epoch 2 | Batch 90/368 | Loss 4.403613
Epoch 2 | Batch 100/368 | Loss 4.404985
Epoch 2 | Batch 110/368 | Loss 4.400863
Epoch 2 | Batch 120/368 | Loss 4.397019
Epoch 2 | Batch 130/368 | Loss 4.392499
Epoch 2 | Batch 140/368 | Loss 4.394858
Epoch 2 | Batch 150/368 | Loss 4.395475
Epoch 2 | Batch 160/368 | Loss 4.392822
Epoch 2 | Batch 170/368 | Loss 4.391700
Epoch 2 | Batch 180/368 | Loss 4.389356
Epoch 2 | Batch 190/368 | Loss 4.383728
Epoch 2 | Batch 200/368 | Loss 4.381145
Epoch 2 | Batch 210/368 | Loss 4.383317
Epoch 2 | Batch 220/368 | Loss 4.382990
Epoch 2 | Batch 230/368 | Loss 4.381899
Epoch 2 | Batch 240/368 | Loss 4.380384
Epoch 2 | Batch 250/368 | Loss 4.379872
Epoch 2 | Batch 260/368 | Loss 4.378906
Epoch 2 | Batch 270/368 | Loss 4.374705
Epoch 2 | Batch 280/368 | Loss 4.372285
Epoch 2 | Batch 290/368 | Loss 4.372030
Epoch 2 | Batch 300/368 | Loss 4.371211
Epoch 2 | Batch 310/368 | Loss 4.369195
Epoch 2 | Batch 320/368 | Loss 4.368866
Epoch 2 | Batch 330/368 | Loss 4.367949
Epoch 2 | Batch 340/368 | Loss 4.367534
Epoch 2 | Batch 350/368 | Loss 4.367675
Epoch 2 | Batch 360/368 | Loss 4.364989
Epoch 3 | Batch 0/368 | Loss 4.414022
Epoch 3 | Batch 10/368 | Loss 4.298383
Epoch 3 | Batch 20/368 | Loss 4.288079
Epoch 3 | Batch 30/368 | Loss 4.293463
Epoch 3 | Batch 40/368 | Loss 4.291279
Epoch 3 | Batch 50/368 | Loss 4.293063
Epoch 3 | Batch 60/368 | Loss 4.290603
Epoch 3 | Batch 70/368 | Loss 4.288895
Epoch 3 | Batch 80/368 | Loss 4.288668
Epoch 3 | Batch 90/368 | Loss 4.286267
Epoch 3 | Batch 100/368 | Loss 4.281434
Epoch 3 | Batch 110/368 | Loss 4.277999
Epoch 3 | Batch 120/368 | Loss 4.276835
Epoch 3 | Batch 130/368 | Loss 4.275146
Epoch 3 | Batch 140/368 | Loss 4.274427
Epoch 3 | Batch 150/368 | Loss 4.270464
Epoch 3 | Batch 160/368 | Loss 4.270411
Epoch 3 | Batch 170/368 | Loss 4.268438
Epoch 3 | Batch 180/368 | Loss 4.268746
Epoch 3 | Batch 190/368 | Loss 4.268703
Epoch 3 | Batch 200/368 | Loss 4.269792
Epoch 3 | Batch 210/368 | Loss 4.267457
Epoch 3 | Batch 220/368 | Loss 4.265962
Epoch 3 | Batch 230/368 | Loss 4.264805
Epoch 3 | Batch 240/368 | Loss 4.263641
Epoch 3 | Batch 250/368 | Loss 4.261925
Epoch 3 | Batch 260/368 | Loss 4.259300
Epoch 3 | Batch 270/368 | Loss 4.257569
Epoch 3 | Batch 280/368 | Loss 4.257483
Epoch 3 | Batch 290/368 | Loss 4.255921
Epoch 3 | Batch 300/368 | Loss 4.254278
Epoch 3 | Batch 310/368 | Loss 4.254936
Epoch 3 | Batch 320/368 | Loss 4.253166
Epoch 3 | Batch 330/368 | Loss 4.255614
Epoch 3 | Batch 340/368 | Loss 4.254729
Epoch 3 | Batch 350/368 | Loss 4.253199
Epoch 3 | Batch 360/368 | Loss 4.251819
Epoch 4 | Batch 0/368 | Loss 4.144052
Epoch 4 | Batch 10/368 | Loss 4.178379
Epoch 4 | Batch 20/368 | Loss 4.193190
Epoch 4 | Batch 30/368 | Loss 4.219306
Epoch 4 | Batch 40/368 | Loss 4.198292
Epoch 4 | Batch 50/368 | Loss 4.192938
Epoch 4 | Batch 60/368 | Loss 4.186548
Epoch 4 | Batch 70/368 | Loss 4.192037
Epoch 4 | Batch 80/368 | Loss 4.187256
Epoch 4 | Batch 90/368 | Loss 4.183604
Epoch 4 | Batch 100/368 | Loss 4.187571
Epoch 4 | Batch 110/368 | Loss 4.185267
Epoch 4 | Batch 120/368 | Loss 4.189202
Epoch 4 | Batch 130/368 | Loss 4.187826
Epoch 4 | Batch 140/368 | Loss 4.189582
Epoch 4 | Batch 150/368 | Loss 4.190443
Epoch 4 | Batch 160/368 | Loss 4.188219
Epoch 4 | Batch 170/368 | Loss 4.187317
Epoch 4 | Batch 180/368 | Loss 4.186732
Epoch 4 | Batch 190/368 | Loss 4.188891
Epoch 4 | Batch 200/368 | Loss 4.187458
Epoch 4 | Batch 210/368 | Loss 4.186180
Epoch 4 | Batch 220/368 | Loss 4.185891
Epoch 4 | Batch 230/368 | Loss 4.185357
Epoch 4 | Batch 240/368 | Loss 4.183435
Epoch 4 | Batch 250/368 | Loss 4.181402
Epoch 4 | Batch 260/368 | Loss 4.181545
Epoch 4 | Batch 270/368 | Loss 4.182272
Epoch 4 | Batch 280/368 | Loss 4.184166
Epoch 4 | Batch 290/368 | Loss 4.181161
Epoch 4 | Batch 300/368 | Loss 4.179693
Epoch 4 | Batch 310/368 | Loss 4.177591
Epoch 4 | Batch 320/368 | Loss 4.176463
Epoch 4 | Batch 330/368 | Loss 4.175095
Epoch 4 | Batch 340/368 | Loss 4.172454
Epoch 4 | Batch 350/368 | Loss 4.170949
Epoch 4 | Batch 360/368 | Loss 4.171817
Epoch 5 | Batch 0/368 | Loss 4.185716
Epoch 5 | Batch 10/368 | Loss 4.083413
Epoch 5 | Batch 20/368 | Loss 4.077894
Epoch 5 | Batch 30/368 | Loss 4.084001
Epoch 5 | Batch 40/368 | Loss 4.085173
Epoch 5 | Batch 50/368 | Loss 4.103501
Epoch 5 | Batch 60/368 | Loss 4.091843
Epoch 5 | Batch 70/368 | Loss 4.091928
Epoch 5 | Batch 80/368 | Loss 4.094944
Epoch 5 | Batch 90/368 | Loss 4.105540
Epoch 5 | Batch 100/368 | Loss 4.100464
Epoch 5 | Batch 110/368 | Loss 4.099364
Epoch 5 | Batch 120/368 | Loss 4.097787
Epoch 5 | Batch 130/368 | Loss 4.096499
Epoch 5 | Batch 140/368 | Loss 4.100925
Epoch 5 | Batch 150/368 | Loss 4.100612
Epoch 5 | Batch 160/368 | Loss 4.100686
Epoch 5 | Batch 170/368 | Loss 4.097393
Epoch 5 | Batch 180/368 | Loss 4.096956
Epoch 5 | Batch 190/368 | Loss 4.103192
Epoch 5 | Batch 200/368 | Loss 4.102096
Epoch 5 | Batch 210/368 | Loss 4.102966
Epoch 5 | Batch 220/368 | Loss 4.104539
Epoch 5 | Batch 230/368 | Loss 4.105394
Epoch 5 | Batch 240/368 | Loss 4.104010
Epoch 5 | Batch 250/368 | Loss 4.105205
Epoch 5 | Batch 260/368 | Loss 4.105273
Epoch 5 | Batch 270/368 | Loss 4.105116
Epoch 5 | Batch 280/368 | Loss 4.102430
Epoch 5 | Batch 290/368 | Loss 4.099814
Epoch 5 | Batch 300/368 | Loss 4.098411
Epoch 5 | Batch 310/368 | Loss 4.097443
Epoch 5 | Batch 320/368 | Loss 4.096390
Epoch 5 | Batch 330/368 | Loss 4.096482
Epoch 5 | Batch 340/368 | Loss 4.098415
Epoch 5 | Batch 350/368 | Loss 4.096946
Epoch 5 | Batch 360/368 | Loss 4.095154
Epoch 6 | Batch 0/368 | Loss 3.946979
Epoch 6 | Batch 10/368 | Loss 3.960699
Epoch 6 | Batch 20/368 | Loss 3.997314
Epoch 6 | Batch 30/368 | Loss 4.032166
Epoch 6 | Batch 40/368 | Loss 4.038310
Epoch 6 | Batch 50/368 | Loss 4.043025
Epoch 6 | Batch 60/368 | Loss 4.040953
Epoch 6 | Batch 70/368 | Loss 4.029211
Epoch 6 | Batch 80/368 | Loss 4.027724
Epoch 6 | Batch 90/368 | Loss 4.027194
Epoch 6 | Batch 100/368 | Loss 4.034069
Epoch 6 | Batch 110/368 | Loss 4.037086
Epoch 6 | Batch 120/368 | Loss 4.043001
Epoch 6 | Batch 130/368 | Loss 4.040531
Epoch 6 | Batch 140/368 | Loss 4.042387
Epoch 6 | Batch 150/368 | Loss 4.044507
Epoch 6 | Batch 160/368 | Loss 4.042730
Epoch 6 | Batch 170/368 | Loss 4.042095
Epoch 6 | Batch 180/368 | Loss 4.037738
Epoch 6 | Batch 190/368 | Loss 4.042886
Epoch 6 | Batch 200/368 | Loss 4.043587
Epoch 6 | Batch 210/368 | Loss 4.042252
Epoch 6 | Batch 220/368 | Loss 4.046240
Epoch 6 | Batch 230/368 | Loss 4.045039
Epoch 6 | Batch 240/368 | Loss 4.041175
Epoch 6 | Batch 250/368 | Loss 4.038438
Epoch 6 | Batch 260/368 | Loss 4.038824
Epoch 6 | Batch 270/368 | Loss 4.037799
Epoch 6 | Batch 280/368 | Loss 4.038925
Epoch 6 | Batch 290/368 | Loss 4.038998
Epoch 6 | Batch 300/368 | Loss 4.036616
Epoch 6 | Batch 310/368 | Loss 4.035807
Epoch 6 | Batch 320/368 | Loss 4.035626
Epoch 6 | Batch 330/368 | Loss 4.035799
Epoch 6 | Batch 340/368 | Loss 4.032990
Epoch 6 | Batch 350/368 | Loss 4.030828
Epoch 6 | Batch 360/368 | Loss 4.029664
Epoch 7 | Batch 0/368 | Loss 4.151191
Epoch 7 | Batch 10/368 | Loss 4.019505
Epoch 7 | Batch 20/368 | Loss 3.976536
Epoch 7 | Batch 30/368 | Loss 3.970567
Epoch 7 | Batch 40/368 | Loss 3.985675
Epoch 7 | Batch 50/368 | Loss 3.982693
Epoch 7 | Batch 60/368 | Loss 3.987411
Epoch 7 | Batch 70/368 | Loss 3.984203
Epoch 7 | Batch 80/368 | Loss 3.981415
Epoch 7 | Batch 90/368 | Loss 3.976319
Epoch 7 | Batch 100/368 | Loss 3.978093
Epoch 7 | Batch 110/368 | Loss 3.974402
Epoch 7 | Batch 120/368 | Loss 3.975005
Epoch 7 | Batch 130/368 | Loss 3.973818
Epoch 7 | Batch 140/368 | Loss 3.971551
Epoch 7 | Batch 150/368 | Loss 3.975159
Epoch 7 | Batch 160/368 | Loss 3.972792
Epoch 7 | Batch 170/368 | Loss 3.971868
Epoch 7 | Batch 180/368 | Loss 3.972460
Epoch 7 | Batch 190/368 | Loss 3.973969
Epoch 7 | Batch 200/368 | Loss 3.968728
Epoch 7 | Batch 210/368 | Loss 3.969431
Epoch 7 | Batch 220/368 | Loss 3.969351
Epoch 7 | Batch 230/368 | Loss 3.969016
Epoch 7 | Batch 240/368 | Loss 3.969309
Epoch 7 | Batch 250/368 | Loss 3.968147
Epoch 7 | Batch 260/368 | Loss 3.966850
Epoch 7 | Batch 270/368 | Loss 3.963363
Epoch 7 | Batch 280/368 | Loss 3.959674
Epoch 7 | Batch 290/368 | Loss 3.960417
Epoch 7 | Batch 300/368 | Loss 3.959639
Epoch 7 | Batch 310/368 | Loss 3.959154
Epoch 7 | Batch 320/368 | Loss 3.959278
Epoch 7 | Batch 330/368 | Loss 3.959826
Epoch 7 | Batch 340/368 | Loss 3.959817
Epoch 7 | Batch 350/368 | Loss 3.959547
Epoch 7 | Batch 360/368 | Loss 3.959507
Epoch 8 | Batch 0/368 | Loss 4.151636
Epoch 8 | Batch 10/368 | Loss 3.893182
Epoch 8 | Batch 20/368 | Loss 3.880436
Epoch 8 | Batch 30/368 | Loss 3.878714
Epoch 8 | Batch 40/368 | Loss 3.878600
Epoch 8 | Batch 50/368 | Loss 3.878562
Epoch 8 | Batch 60/368 | Loss 3.880592
Epoch 8 | Batch 70/368 | Loss 3.866728
Epoch 8 | Batch 80/368 | Loss 3.862206
Epoch 8 | Batch 90/368 | Loss 3.862744
Epoch 8 | Batch 100/368 | Loss 3.869370
Epoch 8 | Batch 110/368 | Loss 3.878462
Epoch 8 | Batch 120/368 | Loss 3.879882
Epoch 8 | Batch 130/368 | Loss 3.882234
Epoch 8 | Batch 140/368 | Loss 3.879319
Epoch 8 | Batch 150/368 | Loss 3.878557
Epoch 8 | Batch 160/368 | Loss 3.877055
Epoch 8 | Batch 170/368 | Loss 3.878753
Epoch 8 | Batch 180/368 | Loss 3.879098
Epoch 8 | Batch 190/368 | Loss 3.876813
Epoch 8 | Batch 200/368 | Loss 3.877527
Epoch 8 | Batch 210/368 | Loss 3.872135
Epoch 8 | Batch 220/368 | Loss 3.875480
Epoch 8 | Batch 230/368 | Loss 3.873074
Epoch 8 | Batch 240/368 | Loss 3.875034
Epoch 8 | Batch 250/368 | Loss 3.872534
Epoch 8 | Batch 260/368 | Loss 3.874435
Epoch 8 | Batch 270/368 | Loss 3.878310
Epoch 8 | Batch 280/368 | Loss 3.878435
Epoch 8 | Batch 290/368 | Loss 3.878923
Epoch 8 | Batch 300/368 | Loss 3.878506
Epoch 8 | Batch 310/368 | Loss 3.880289
Epoch 8 | Batch 320/368 | Loss 3.877858
Epoch 8 | Batch 330/368 | Loss 3.876943
Epoch 8 | Batch 340/368 | Loss 3.877096
Epoch 8 | Batch 350/368 | Loss 3.877336
Epoch 8 | Batch 360/368 | Loss 3.875547
Epoch 9 | Batch 0/368 | Loss 3.710283
Epoch 9 | Batch 10/368 | Loss 3.735790
Epoch 9 | Batch 20/368 | Loss 3.814461
Epoch 9 | Batch 30/368 | Loss 3.821173
Epoch 9 | Batch 40/368 | Loss 3.808901
Epoch 9 | Batch 50/368 | Loss 3.813939
Epoch 9 | Batch 60/368 | Loss 3.811588
Epoch 9 | Batch 70/368 | Loss 3.814142
Epoch 9 | Batch 80/368 | Loss 3.818636
Epoch 9 | Batch 90/368 | Loss 3.813263
Epoch 9 | Batch 100/368 | Loss 3.817683
Epoch 9 | Batch 110/368 | Loss 3.814335
Epoch 9 | Batch 120/368 | Loss 3.816875
Epoch 9 | Batch 130/368 | Loss 3.810073
Epoch 9 | Batch 140/368 | Loss 3.811597
Epoch 9 | Batch 150/368 | Loss 3.807603
Epoch 9 | Batch 160/368 | Loss 3.809871
Epoch 9 | Batch 170/368 | Loss 3.811307
Epoch 9 | Batch 180/368 | Loss 3.805910
Epoch 9 | Batch 190/368 | Loss 3.802773
Epoch 9 | Batch 200/368 | Loss 3.800623
Epoch 9 | Batch 210/368 | Loss 3.803009
Epoch 9 | Batch 220/368 | Loss 3.801033
Epoch 9 | Batch 230/368 | Loss 3.801095
Epoch 9 | Batch 240/368 | Loss 3.804297
Epoch 9 | Batch 250/368 | Loss 3.802723
Epoch 9 | Batch 260/368 | Loss 3.804833
Epoch 9 | Batch 270/368 | Loss 3.804858
Epoch 9 | Batch 280/368 | Loss 3.801747
Epoch 9 | Batch 290/368 | Loss 3.803123
Epoch 9 | Batch 300/368 | Loss 3.803098
Epoch 9 | Batch 310/368 | Loss 3.803535
Epoch 9 | Batch 320/368 | Loss 3.802735
Epoch 9 | Batch 330/368 | Loss 3.803279
Epoch 9 | Batch 340/368 | Loss 3.805305
Epoch 9 | Batch 350/368 | Loss 3.804119
Epoch 9 | Batch 360/368 | Loss 3.802650
Epoch 10 | Batch 0/368 | Loss 3.876056
Epoch 10 | Batch 10/368 | Loss 3.694322
Epoch 10 | Batch 20/368 | Loss 3.669349
Epoch 10 | Batch 30/368 | Loss 3.680746
Epoch 10 | Batch 40/368 | Loss 3.669318
Epoch 10 | Batch 50/368 | Loss 3.690071
Epoch 10 | Batch 60/368 | Loss 3.687485
Epoch 10 | Batch 70/368 | Loss 3.694887
Epoch 10 | Batch 80/368 | Loss 3.690556
Epoch 10 | Batch 90/368 | Loss 3.701461
Epoch 10 | Batch 100/368 | Loss 3.710178
Epoch 10 | Batch 110/368 | Loss 3.711247
Epoch 10 | Batch 120/368 | Loss 3.710549
Epoch 10 | Batch 130/368 | Loss 3.715618
Epoch 10 | Batch 140/368 | Loss 3.720502
Epoch 10 | Batch 150/368 | Loss 3.721741
Epoch 10 | Batch 160/368 | Loss 3.722821
Epoch 10 | Batch 170/368 | Loss 3.721178
Epoch 10 | Batch 180/368 | Loss 3.726579
Epoch 10 | Batch 190/368 | Loss 3.721048
Epoch 10 | Batch 200/368 | Loss 3.725137
Epoch 10 | Batch 210/368 | Loss 3.726357
Epoch 10 | Batch 220/368 | Loss 3.727480
Epoch 10 | Batch 230/368 | Loss 3.726377
Epoch 10 | Batch 240/368 | Loss 3.725695
Epoch 10 | Batch 250/368 | Loss 3.728287
Epoch 10 | Batch 260/368 | Loss 3.730980
Epoch 10 | Batch 270/368 | Loss 3.733772
Epoch 10 | Batch 280/368 | Loss 3.735291
Epoch 10 | Batch 290/368 | Loss 3.738100
Epoch 10 | Batch 300/368 | Loss 3.738044
Epoch 10 | Batch 310/368 | Loss 3.738785
Epoch 10 | Batch 320/368 | Loss 3.738486
Epoch 10 | Batch 330/368 | Loss 3.736369
Epoch 10 | Batch 340/368 | Loss 3.735000
Epoch 10 | Batch 350/368 | Loss 3.736293
Epoch 10 | Batch 360/368 | Loss 3.737137
Epoch 11 | Batch 0/368 | Loss 3.526776
Epoch 11 | Batch 10/368 | Loss 3.631874
Epoch 11 | Batch 20/368 | Loss 3.664729
Epoch 11 | Batch 30/368 | Loss 3.658429
