nohup: ignoring input
/home/gaojinghan/anaconda3/envs/ft/lib/python3.7/site-packages/torchvision/transforms/transforms.py:187: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 0 | Batch 0/2400 | Loss 5.307846
Epoch 0 | Batch 10/2400 | Loss 5.205322
Epoch 0 | Batch 20/2400 | Loss 5.089683
Epoch 0 | Batch 30/2400 | Loss 4.999474
Epoch 0 | Batch 40/2400 | Loss 4.937558
Epoch 0 | Batch 50/2400 | Loss 4.873522
Epoch 0 | Batch 60/2400 | Loss 4.818118
Epoch 0 | Batch 70/2400 | Loss 4.782637
Epoch 0 | Batch 80/2400 | Loss 4.749008
Epoch 0 | Batch 90/2400 | Loss 4.721521
Epoch 0 | Batch 100/2400 | Loss 4.695333
Epoch 0 | Batch 110/2400 | Loss 4.672412
Epoch 0 | Batch 120/2400 | Loss 4.651698
Epoch 0 | Batch 130/2400 | Loss 4.632220
Epoch 0 | Batch 140/2400 | Loss 4.613711
Epoch 0 | Batch 150/2400 | Loss 4.596942
Epoch 0 | Batch 160/2400 | Loss 4.582237
Epoch 0 | Batch 170/2400 | Loss 4.567982
Epoch 0 | Batch 180/2400 | Loss 4.555479
Epoch 0 | Batch 190/2400 | Loss 4.541768
Epoch 0 | Batch 200/2400 | Loss 4.530488
Epoch 0 | Batch 210/2400 | Loss 4.520919
Epoch 0 | Batch 220/2400 | Loss 4.510380
Epoch 0 | Batch 230/2400 | Loss 4.500120
Epoch 0 | Batch 240/2400 | Loss 4.491380
Epoch 0 | Batch 250/2400 | Loss 4.481309
Epoch 0 | Batch 260/2400 | Loss 4.472246
Epoch 0 | Batch 270/2400 | Loss 4.464918
Epoch 0 | Batch 280/2400 | Loss 4.457062
Epoch 0 | Batch 290/2400 | Loss 4.450954
Epoch 0 | Batch 300/2400 | Loss 4.444846
Epoch 0 | Batch 310/2400 | Loss 4.438883
Epoch 0 | Batch 320/2400 | Loss 4.431264
Epoch 0 | Batch 330/2400 | Loss 4.425312
Epoch 0 | Batch 340/2400 | Loss 4.419496
Epoch 0 | Batch 350/2400 | Loss 4.414474
Epoch 0 | Batch 360/2400 | Loss 4.408719
Epoch 0 | Batch 370/2400 | Loss 4.402978
Epoch 0 | Batch 380/2400 | Loss 4.397783
Epoch 0 | Batch 390/2400 | Loss 4.392799
Epoch 0 | Batch 400/2400 | Loss 4.387995
Epoch 0 | Batch 410/2400 | Loss 4.383296
Epoch 0 | Batch 420/2400 | Loss 4.378103
Epoch 0 | Batch 430/2400 | Loss 4.373573
Epoch 0 | Batch 440/2400 | Loss 4.370003
Epoch 0 | Batch 450/2400 | Loss 4.365664
Epoch 0 | Batch 460/2400 | Loss 4.360959
Epoch 0 | Batch 470/2400 | Loss 4.356539
Epoch 0 | Batch 480/2400 | Loss 4.351827
Epoch 0 | Batch 490/2400 | Loss 4.348040
Epoch 0 | Batch 500/2400 | Loss 4.344192
Epoch 0 | Batch 510/2400 | Loss 4.340339
Epoch 0 | Batch 520/2400 | Loss 4.337439
Epoch 0 | Batch 530/2400 | Loss 4.334022
Epoch 0 | Batch 540/2400 | Loss 4.330680
Epoch 0 | Batch 550/2400 | Loss 4.326886
Epoch 0 | Batch 560/2400 | Loss 4.323416
Epoch 0 | Batch 570/2400 | Loss 4.320288
Epoch 0 | Batch 580/2400 | Loss 4.317046
Epoch 0 | Batch 590/2400 | Loss 4.314194
Epoch 0 | Batch 600/2400 | Loss 4.310566
Epoch 0 | Batch 610/2400 | Loss 4.306984
Epoch 0 | Batch 620/2400 | Loss 4.304385
Epoch 0 | Batch 630/2400 | Loss 4.301517
Epoch 0 | Batch 640/2400 | Loss 4.298386
Epoch 0 | Batch 650/2400 | Loss 4.295539
Epoch 0 | Batch 660/2400 | Loss 4.292281
Epoch 0 | Batch 670/2400 | Loss 4.289378
Epoch 0 | Batch 680/2400 | Loss 4.286300
Epoch 0 | Batch 690/2400 | Loss 4.283517
Epoch 0 | Batch 700/2400 | Loss 4.280547
Epoch 0 | Batch 710/2400 | Loss 4.278312
Epoch 0 | Batch 720/2400 | Loss 4.275152
Epoch 0 | Batch 730/2400 | Loss 4.272111
Epoch 0 | Batch 740/2400 | Loss 4.269571
Epoch 0 | Batch 750/2400 | Loss 4.266832
Epoch 0 | Batch 760/2400 | Loss 4.263798
Epoch 0 | Batch 770/2400 | Loss 4.262160
Epoch 0 | Batch 780/2400 | Loss 4.259807
Epoch 0 | Batch 790/2400 | Loss 4.257666
Epoch 0 | Batch 800/2400 | Loss 4.255836
Epoch 0 | Batch 810/2400 | Loss 4.253230
