nohup: ignoring input
/home/gaojinghan/anaconda3/envs/ft/lib/python3.7/site-packages/torchvision/transforms/transforms.py:187: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch 0 | Batch 0/2400 | Loss 5.291674
Epoch 0 | Batch 10/2400 | Loss 5.132428
Epoch 0 | Batch 20/2400 | Loss 5.016204
Epoch 0 | Batch 30/2400 | Loss 4.922049
Epoch 0 | Batch 40/2400 | Loss 4.840561
Epoch 0 | Batch 50/2400 | Loss 4.777045
Epoch 0 | Batch 60/2400 | Loss 4.724647
Epoch 0 | Batch 70/2400 | Loss 4.677789
Epoch 0 | Batch 80/2400 | Loss 4.642416
Epoch 0 | Batch 90/2400 | Loss 4.612067
Epoch 0 | Batch 100/2400 | Loss 4.580240
Epoch 0 | Batch 110/2400 | Loss 4.553513
Epoch 0 | Batch 120/2400 | Loss 4.528633
Epoch 0 | Batch 130/2400 | Loss 4.509422
Epoch 0 | Batch 140/2400 | Loss 4.490327
Epoch 0 | Batch 150/2400 | Loss 4.475775
Epoch 0 | Batch 160/2400 | Loss 4.462041
Epoch 0 | Batch 170/2400 | Loss 4.447013
Epoch 0 | Batch 180/2400 | Loss 4.433123
Epoch 0 | Batch 190/2400 | Loss 4.421078
Epoch 0 | Batch 200/2400 | Loss 4.407545
Epoch 0 | Batch 210/2400 | Loss 4.396710
Epoch 0 | Batch 220/2400 | Loss 4.384354
Epoch 0 | Batch 230/2400 | Loss 4.372435
Epoch 0 | Batch 240/2400 | Loss 4.361526
Epoch 0 | Batch 250/2400 | Loss 4.351063
Epoch 0 | Batch 260/2400 | Loss 4.343763
Epoch 0 | Batch 270/2400 | Loss 4.337902
Epoch 0 | Batch 280/2400 | Loss 4.329914
Epoch 0 | Batch 290/2400 | Loss 4.322639
Epoch 0 | Batch 300/2400 | Loss 4.313967
Epoch 0 | Batch 310/2400 | Loss 4.306702
Epoch 0 | Batch 320/2400 | Loss 4.299818
Epoch 0 | Batch 330/2400 | Loss 4.291847
Epoch 0 | Batch 340/2400 | Loss 4.283383
Epoch 0 | Batch 350/2400 | Loss 4.275794
Epoch 0 | Batch 360/2400 | Loss 4.269439
Epoch 0 | Batch 370/2400 | Loss 4.264460
Epoch 0 | Batch 380/2400 | Loss 4.258372
Epoch 0 | Batch 390/2400 | Loss 4.253046
Epoch 0 | Batch 400/2400 | Loss 4.247130
Epoch 0 | Batch 410/2400 | Loss 4.241719
Epoch 0 | Batch 420/2400 | Loss 4.237346
Epoch 0 | Batch 430/2400 | Loss 4.233295
Epoch 0 | Batch 440/2400 | Loss 4.229260
Epoch 0 | Batch 450/2400 | Loss 4.223816
Epoch 0 | Batch 460/2400 | Loss 4.218708
Epoch 0 | Batch 470/2400 | Loss 4.214532
Epoch 0 | Batch 480/2400 | Loss 4.210910
Epoch 0 | Batch 490/2400 | Loss 4.206611
Epoch 0 | Batch 500/2400 | Loss 4.203771
Epoch 0 | Batch 510/2400 | Loss 4.199047
Epoch 0 | Batch 520/2400 | Loss 4.194760
